Date,Price
2024/08/04,940.2
2024/07/28,978.4
2024/07/21,944.4
2024/07/14,973.9
2024/07/07,"1,013.30"
2024/06/30,"1,046.00"
2024/06/23,"1,014.10"
2024/06/16,"1,008.10"
2024/06/09,970.9
2024/06/02,984.4
2024/05/26,"1,053.90"
2024/05/19,"1,050.60"
2024/05/12,"1,100.50"
2024/05/05,"1,017.30"
2024/04/28,976.8
2024/04/21,922.1
2024/04/14,943.8
2024/04/07,"1,001.70"
2024/03/31,940.6
2024/03/24,921.1
2024/03/17,907.6
2024/03/10,952.3
2024/03/03,924.2
2024/02/25,897.2
2024/02/18,918.1
2024/02/11,921.3
2024/02/04,887.5
2024/01/28,910.5
2024/01/21,921.3
2024/01/14,907
2024/01/07,921.1
2023/12/31,971.8
2023/12/24,"1,009.20"
2023/12/17,993.7
2023/12/10,961.2
2023/12/03,927.3
2023/11/26,943.6
2023/11/19,943.8
2023/11/12,908.3
2023/11/05,852.8
2023/10/29,950.6
2023/10/22,905.8
2023/10/15,905.1
2023/10/08,884.2
2023/10/01,881.5
2023/09/24,915.9
2023/09/17,940
2023/09/10,935.5
2023/09/03,902
2023/08/27,975.5
2023/08/20,954.4
2023/08/13,920.9
2023/08/06,921.5
2023/07/30,936.5
2023/07/23,951.3
2023/07/16,972.2
2023/07/09,984.3
2023/07/02,918.5
2023/06/25,913.2
2023/06/18,926.9
2023/06/11,992
2023/06/04,"1,017.80"
2023/05/28,"1,009.90"
2023/05/21,"1,020.00"
2023/05/14,"1,079.90"
2023/05/07,"1,072.00"
2023/04/30,"1,073.80"
2023/04/23,"1,095.60"
2023/04/16,"1,138.70"
2023/04/09,"1,054.00"
2023/04/02,"1,016.80"
2023/03/26,"1,003.10"
2023/03/19,990.3
2023/03/12,980.9
2023/03/05,965.5
2023/02/26,985
2023/02/19,908.2
2023/02/12,926.9
2023/02/05,956.9
2023/01/29,987.1
2023/01/22,"1,016.80"
2023/01/15,"1,047.80"
2023/01/08,"1,072.50"
2023/01/01,"1,104.30"
2022/12/25,"1,082.90"
2022/12/18,"1,032.60"
2022/12/11,"1,004.40"
2022/12/04,"1,038.20"
2022/11/27,"1,028.90"
2022/11/20,989.4
2022/11/13,983.7
2022/11/06,"1,034.60"
2022/10/30,958
2022/10/23,946.4
2022/10/16,933.9
2022/10/09,894.9
2022/10/02,917.9
2022/09/25,859.1
2022/09/18,856.5
2022/09/11,896.1
2022/09/04,877.5
2022/08/28,822.3
2022/08/21,859.7
2022/08/14,889.4
2022/08/07,960.9
2022/07/31,926.1
2022/07/24,891.6
2022/07/17,867.2
2022/07/10,830.9
2022/07/03,882.8
2022/06/26,871.3
2022/06/19,903.3
2022/06/12,930.8
2022/06/05,972.9
2022/05/29,"1,017.80"
2022/05/22,945.1
2022/05/15,940.9
2022/05/08,931.5
2022/05/01,956.2
2022/04/24,940.5
2022/04/17,927.4
2022/04/10,994.2
2022/04/03,975.6
2022/03/27,988.6
2022/03/20,"1,010.70"
2022/03/13,"1,036.10"
2022/03/06,"1,086.10"
2022/02/27,"1,116.60"
2022/02/20,"1,051.10"
2022/02/13,"1,077.40"
2022/02/06,"1,019.60"
2022/01/30,"1,024.60"
2022/01/23,"1,006.40"
2022/01/16,"1,035.10"
2022/01/09,964.6
2022/01/02,956.5
2021/12/26,966.2
2021/12/19,972.2
2021/12/12,932.9
2021/12/05,935.1
2021/11/28,927.1
2021/11/21,954.9
2021/11/14,"1,037.60"
2021/11/07,"1,090.10"
2021/10/31,"1,036.90"
2021/10/24,"1,021.70"
2021/10/17,"1,052.10"
2021/10/10,"1,058.90"
2021/10/03,"1,028.20"
2021/09/26,973.6
2021/09/19,976.3
2021/09/12,932.6
2021/09/05,959.6
2021/08/29,"1,024.50"
2021/08/22,"1,007.40"
2021/08/15,995.7
2021/08/08,"1,028.20"
2021/08/01,974.9
2021/07/25,"1,051.50"
2021/07/18,"1,061.40"
2021/07/11,"1,108.50"
2021/07/04,"1,095.70"
2021/06/27,"1,087.70"
2021/06/20,"1,105.70"
2021/06/13,"1,045.20"
2021/06/06,"1,155.00"
2021/05/30,"1,168.50"
2021/05/23,"1,186.60"
2021/05/16,"1,173.40"
2021/05/09,"1,226.10"
2021/05/02,"1,257.90"
2021/04/25,"1,208.70"
2021/04/18,"1,233.10"
2021/04/11,"1,208.70"
2021/04/04,"1,209.30"
2021/03/28,"1,208.60"
2021/03/21,"1,181.70"
2021/03/14,"1,204.10"
2021/03/07,"1,204.40"
2021/02/28,"1,132.90"
2021/02/21,"1,189.30"
2021/02/14,"1,297.10"
2021/02/07,"1,261.50"
2021/01/31,"1,136.10"
2021/01/24,"1,083.40"
2021/01/17,"1,111.60"
2021/01/10,"1,089.90"
2021/01/03,"1,071.30"
2020/12/27,"1,079.20"
2020/12/20,"1,035.00"
2020/12/13,"1,049.00"
2020/12/06,"1,026.30"
2020/11/29,"1,076.40"
2020/11/22,970.3
2020/11/15,961.1
2020/11/08,900
2020/11/01,902.8
2020/10/25,852.4
2020/10/18,906.7
2020/10/11,869.3
2020/10/04,894.3
2020/09/27,891.4
2020/09/20,849.2
2020/09/13,946.1
2020/09/06,946
2020/08/30,905.3
2020/08/23,949.1
2020/08/16,932.8
2020/08/09,965.8
2020/08/02,977.4
2020/07/26,925.2
2020/07/19,956
2020/07/12,849.6
2020/07/05,845.9
2020/06/28,831.6
2020/06/21,814.6
2020/06/14,830.3
2020/06/07,824.9
2020/05/31,836
2020/05/24,874.8
2020/05/17,885.6
2020/05/10,815.2
2020/05/03,788.9
2020/04/26,773
2020/04/19,773.8
2020/04/12,785.3
2020/04/05,748.6
2020/03/29,718.1
2020/03/22,741
2020/03/15,623.4
2020/03/08,744.8
2020/03/01,900.3
2020/02/23,869.9
2020/02/16,981.6
2020/02/09,974
2020/02/02,974.3
2020/01/26,966.9
2020/01/19,"1,010.60"
2020/01/12,"1,024.80"
2020/01/05,986
2019/12/29,990.3
2019/12/22,954.8
2019/12/15,920
2019/12/08,934.9
2019/12/01,904.8
2019/11/24,906
2019/11/17,897.9
2019/11/10,899.6
2019/11/03,899
2019/10/27,959.7
2019/10/20,933.3
2019/10/13,895.9
2019/10/06,900.3
2019/09/29,886.9
2019/09/22,936.1
2019/09/15,948.9
2019/09/08,958.2
2019/09/01,964.1
2019/08/25,936.9
2019/08/18,860.3
2019/08/11,856.3
2019/08/04,869.1
2019/07/28,858
2019/07/21,867.8
2019/07/14,852.1
2019/07/07,834.6
2019/06/30,811.4
2019/06/23,841.1
2019/06/16,815.7
2019/06/09,810
2019/06/02,811.8
2019/05/26,799.6
2019/05/19,808.2
2019/05/12,825.6
2019/05/05,870.9
2019/04/28,880.2
2019/04/21,903.6
2019/04/14,903.7
2019/04/07,898.5
2019/03/31,905.4
2019/03/24,854.1
2019/03/17,853.4
2019/03/10,837
2019/03/03,823.2
2019/02/24,868.9
2019/02/17,851.1
2019/02/10,812
2019/02/03,807.7
2019/01/27,832
2019/01/20,818.3
2019/01/13,802.1
2019/01/06,818
2018/12/30,827.2
2018/12/23,796.4
2018/12/16,799.1
2018/12/09,791.2
2018/12/02,796.3
2018/11/25,804.8
2018/11/18,849.5
2018/11/11,851
2018/11/04,860.3
2018/10/28,879.9
2018/10/21,834.4
2018/10/14,836
2018/10/07,840
2018/09/30,824.5
2018/09/23,822.4
2018/09/16,832.9
2018/09/09,801.2
2018/09/02,783.3
2018/08/26,790.4
2018/08/19,792.8
2018/08/12,780.3
2018/08/05,833.2
2018/07/29,840.6
2018/07/22,831.7
2018/07/15,829.5
2018/07/08,830.3
2018/07/01,848.6
2018/06/24,857.7
2018/06/17,875
2018/06/10,892.1
2018/06/03,910.6
2018/05/27,911.8
2018/05/20,906.3
2018/05/13,891.4
2018/05/06,930.9
2018/04/29,915.3
2018/04/22,921.3
2018/04/15,931.8
2018/04/08,933.1
2018/04/01,917.5
2018/03/25,932.6
2018/03/18,954.1
2018/03/11,955.4
2018/03/04,969.3
2018/02/25,970.1
2018/02/18,"1,003.50"
2018/02/11,"1,016.90"
2018/02/04,966.2
2018/01/28,"1,004.20"
2018/01/21,"1,018.40"
2018/01/14,"1,020.10"
2018/01/07,996.2
2017/12/31,975.2
2017/12/24,938.3
2017/12/17,925.7
2017/12/10,893.4
2017/12/03,887.9
2017/11/26,944.9
2017/11/19,949.7
2017/11/12,959
2017/11/05,936.4
2017/10/29,926.1
2017/10/22,914.6
2017/10/15,926.8
2017/10/08,947.9
2017/10/01,916.7
2017/09/24,915.5
2017/09/17,936.2
2017/09/10,975.4
2017/09/03,"1,016.00"
2017/08/27,"1,012.40"
2017/08/20,982.2
2017/08/13,985.3
2017/08/06,992.5
2017/07/30,971.8
2017/07/23,939.6
2017/07/16,937.4
2017/07/09,923.5
2017/07/02,904.1
2017/06/25,926.4
2017/06/18,931.5
2017/06/11,929.6
2017/06/04,943.6
2017/05/28,956.5
2017/05/21,954.5
2017/05/14,943.2
2017/05/07,920.9
2017/04/30,913.9
2017/04/23,952.1
2017/04/16,974.65
2017/04/09,976.1
2017/04/02,956.8
2017/03/26,953.4
2017/03/19,966.35
2017/03/12,965.8
2017/03/05,943.9
2017/02/26,"1,000.60"
2017/02/19,"1,031.05"
2017/02/12,"1,006.35"
2017/02/05,"1,014.30"
2017/01/29,"1,006.85"
2017/01/22,988.45
2017/01/15,981.8
2017/01/08,987.75
2017/01/01,972.85
2016/12/25,905.65
2016/12/18,893.1
2016/12/11,927.6
2016/12/04,916.1
2016/11/27,929.9
2016/11/20,908
2016/11/13,923.4
2016/11/06,944.7
2016/10/30,"1,000.40"
2016/10/23,981.75
2016/10/16,935
2016/10/09,937.25
2016/10/02,970.75
2016/09/25,"1,032.80"
2016/09/18,"1,057.10"
2016/09/11,"1,017.60"
2016/09/04,"1,064.80"
2016/08/28,"1,066.40"
2016/08/21,"1,076.15"
2016/08/14,"1,118.75"
2016/08/07,"1,128.55"
2016/07/31,"1,150.60"
2016/07/24,"1,153.65"
2016/07/17,"1,087.50"
2016/07/10,"1,099.00"
2016/07/03,"1,101.95"
2016/06/26,"1,064.30"
2016/06/19,987.15
2016/06/12,970.95
2016/06/05,993.6
2016/05/29,988.05
2016/05/22,978.3
2016/05/15,"1,024.00"
2016/05/08,"1,054.25"
2016/05/01,"1,082.00"
2016/04/24,"1,080.00"
2016/04/17,"1,011.70"
2016/04/10,986.25
2016/04/03,968.75
2016/03/27,959.1
2016/03/20,948.45
2016/03/13,973.65
2016/03/06,964.85
2016/02/28,981.05
2016/02/21,915.15
2016/02/14,940.45
2016/02/07,958.15
2016/01/31,913.7
2016/01/24,871.85
2016/01/17,831.75
2016/01/10,830.95
2016/01/03,880
2015/12/27,892.5
2015/12/20,884.45
2015/12/13,859.65
2015/12/06,841.25
2015/11/29,880.2
2015/11/22,836.45
2015/11/15,855.4
2015/11/08,861.7
2015/11/01,942.35
2015/10/25,987.35
2015/10/18,"1,002.60"
2015/10/11,"1,015.55"
2015/10/04,983.4
2015/09/27,910.75
2015/09/20,948.25
2015/09/13,982.45
2015/09/06,970.95
2015/08/30,991.1
2015/08/23,"1,018.60"
2015/08/16,"1,019.80"
2015/08/09,992.75
2015/08/02,963.1
2015/07/26,984.15
2015/07/19,988.15
2015/07/12,994.05
2015/07/05,"1,033.15"
2015/06/28,"1,084.05"
2015/06/21,"1,084.10"
2015/06/14,"1,084.70"
2015/06/07,"1,095.00"
2015/05/31,"1,096.10"
2015/05/24,"1,112.40"
2015/05/17,"1,146.95"
2015/05/10,"1,168.70"
2015/05/03,"1,141.75"
2015/04/26,"1,131.40"
2015/04/19,"1,123.85"
2015/04/12,"1,171.90"
2015/04/05,"1,173.60"
2015/03/29,"1,155.50"
2015/03/22,"1,138.95"
2015/03/15,"1,137.65"
2015/03/08,"1,117.05"
2015/03/01,"1,160.60"
2015/02/22,"1,188.70"
2015/02/15,"1,164.45"
2015/02/08,"1,208.15"
2015/02/01,"1,223.85"
2015/01/25,"1,240.90"
2015/01/18,"1,269.10"
2015/01/11,"1,268.65"
2015/01/04,"1,233.75"
2014/12/28,"1,203.20"
2014/12/21,"1,216.15"
2014/12/14,"1,196.80"
2014/12/07,"1,230.00"
2014/11/30,"1,224.00"
2014/11/23,"1,200.70"
2014/11/16,"1,227.10"
2014/11/09,"1,213.70"
2014/11/02,"1,217.95"
2014/10/26,"1,237.05"
2014/10/19,"1,250.90"
2014/10/12,"1,262.35"
2014/10/05,"1,263.10"
2014/09/28,"1,225.70"
2014/09/21,"1,300.90"
2014/09/14,"1,336.05"
2014/09/07,"1,371.85"
2014/08/31,"1,410.75"
2014/08/24,"1,424.50"
2014/08/17,"1,421.85"
2014/08/10,"1,457.75"
2012/10/28,"1,574.30"
2012/10/21,"1,547.15"
2012/10/14,"1,621.75"
2012/10/07,"1,655.35"
2012/09/30,"1,711.25"
2012/09/23,"1,667.25"
2012/09/16,"1,635.80"
2012/09/09,"1,709.00"
2012/09/02,"1,591.75"
2012/08/26,"1,540.15"
2012/08/19,"1,550.45"
2012/08/12,"1,474.75"
2012/08/05,"1,400.95"
2012/07/29,"1,406.05"
2012/07/22,"1,411.45"
2012/07/15,"1,415.35"
2012/07/08,"1,432.50"
2012/06/24,"1,449.35"
2012/06/17,"1,435.80"
2012/06/10,"1,482.60"
2012/06/03,"1,433.75"
2012/05/27,"1,444.05"
2012/05/20,"1,431.50"
2012/05/13,"1,455.75"
2012/05/06,"1,464.45"
2012/04/29,"1,526.35"
2012/04/22,"1,573.75"
2012/04/15,"1,581.40"
2012/04/08,"1,585.90"
2012/03/25,"1,643.15"
2012/03/18,"1,627.50"
2012/03/11,"1,672.40"
2012/03/04,"1,686.15"
2012/02/26,"1,700.60"
2012/02/19,"1,714.00"
2012/02/12,"1,635.60"
2012/02/05,"1,661.75"
2012/01/29,"1,625.35"
2012/01/22,"1,624.60"
2012/01/15,"1,537.90"
2012/01/08,"1,493.45"
2011/12/18,"1,426.45"
2011/12/11,"1,420.25"
2011/12/04,"1,515.35"
2011/11/27,"1,548.70"
2011/11/20,"1,530.80"
2011/11/13,"1,596.35"
2011/11/06,"1,645.95"
2011/10/30,"1,637.05"
2011/10/23,"1,648.60"
2011/10/16,"1,512.60"
2011/10/09,"1,557.60"
2011/10/02,"1,494.85"
2011/09/25,"1,527.60"
2011/09/18,"1,614.55"
2011/09/11,"1,814.75"
2011/09/04,"1,836.95"
2011/08/28,"1,885.55"
2011/08/21,"1,835.65"
2011/08/14,"1,879.65"
2011/08/07,"1,800.00"
2011/07/31,"1,719.70"
2011/07/24,"1,783.05"
2011/07/17,"1,797.65"
2011/07/10,"1,763.70"
2011/07/03,"1,737.75"
2011/06/26,"1,723.35"
2011/06/19,"1,687.30"
2011/06/12,"1,758.00"
2011/06/05,"1,829.60"
2011/05/29,"1,818.55"
2011/05/22,"1,803.15"
2011/05/15,"1,775.50"
2011/05/08,"1,764.55"
2011/04/24,"1,875.05"
2011/04/17,"1,818.55"
2011/04/10,"1,791.15"
2011/04/03,"1,816.35"
2011/03/27,"1,768.40"
2011/03/20,"1,753.85"
2011/03/13,"1,724.80"
2011/03/06,"1,782.45"
2011/02/27,"1,843.75"
2011/02/20,"1,807.95"
2011/02/13,"1,836.95"
2011/02/06,"1,806.00"
2011/01/30,"1,845.30"
2011/01/23,"1,798.00"
2011/01/16,"1,828.75"
2011/01/09,"1,814.80"
2011/01/02,"1,736.25"
2010/12/26,"1,774.80"
2010/12/12,"1,702.45"
2010/12/05,"1,681.15"
2010/11/28,"1,730.10"
2010/11/21,"1,649.60"
2010/11/14,"1,666.15"
2010/11/07,"1,681.40"
2010/10/31,"1,771.95"
2010/10/24,"1,709.40"
2010/10/17,"1,679.85"
2010/10/10,"1,699.55"
2010/10/03,"1,708.20"
2010/09/26,"1,683.55"
2010/09/19,"1,650.25"
2010/09/12,"1,622.95"
2010/09/05,"1,541.75"
2010/08/29,"1,557.65"
2010/08/22,"1,537.25"
2010/08/15,"1,514.75"
2010/08/08,"1,526.65"
2010/07/25,"1,575.55"
2010/07/18,"1,545.25"
2010/07/11,"1,513.35"
2010/07/04,"1,534.45"
2010/06/27,"1,505.35"
2010/06/20,"1,577.65"
2010/06/13,"1,598.90"
2010/06/06,"1,542.05"
2010/05/30,"1,513.00"
2010/05/23,"1,547.80"
2010/05/16,"1,504.35"
2010/05/09,"1,722.70"
2010/05/02,"1,665.75"
2010/04/18,"1,743.40"
2010/04/11,"1,695.20"
2010/04/04,"1,725.90"
2010/03/28,"1,673.40"
2010/03/21,"1,602.15"
2010/03/07,"1,608.60"
2010/02/28,"1,577.35"
2010/02/21,"1,541.50"
2010/02/14,"1,532.55"
2010/02/07,"1,514.70"
2010/01/31,"1,483.25"
2010/01/24,"1,502.65"
2010/01/17,"1,548.00"
2010/01/10,"1,599.85"
2010/01/03,"1,581.20"
2009/12/27,"1,474.90"
2009/12/20,"1,472.40"
2009/12/13,"1,438.15"
2009/12/06,"1,431.10"
2009/11/29,"1,447.85"
2009/11/22,"1,443.00"
2009/11/15,"1,450.30"
2009/11/08,"1,397.10"
2009/10/25,"1,330.15"
2009/10/18,"1,365.30"
